,Sector,Year,FDI(₹ Crores),FDI(US$ Million)
374,COIR,2005-06,2.61,0.59
375,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2005-06,4.12,0.93
376,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2005-06,1012.5,228.71
377,MISCELLANEOUS INDUSTRIES,2005-06,729.39,164.76
378,METALLURGICAL INDUSTRIES,2006-07,768.81,169.94
379,MINING,2006-07,29.95,6.62
380,POWER,2006-07,710.95,157.15
381,NON-CONVENTIONAL ENERGY,2006-07,11.04,2.44
382,COAL PRODUCTION,2006-07,5.88,1.3
383,PETROLEUM & NATURAL GAS,2006-07,396.8,87.71
384,BOILERS AND STEAM GENERATING PLANTS,2006-07,14.97,3.31
385,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2006-07,115.68,25.57
386,ELECTRICAL EQUIPMENTS,2006-07,347.67,76.85
387,COMPUTER SOFTWARE & HARDWARE,2006-07,11822.7,2613.33
388,ELECTRONICS,2006-07,190.64,42.14
389,TELECOMMUNICATIONS,2006-07,2155.73,476.51
390,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2006-07,342.47,75.7
391,AUTOMOBILE INDUSTRY,2006-07,1179.5,260.72
392,AIR TRANSPORT (INCLUDING AIR FREIGHT),2006-07,281.8,62.29
393,SEA TRANSPORT,2006-07,328.08,72.52
394,PORTS,2006-07,0.0,0.0
395,RAILWAY RELATED COMPONENTS,2006-07,116.81,25.82
396,INDUSTRIAL MACHINERY,2006-07,117.44,25.96
397,MACHINE TOOLS,2006-07,168.65,37.28
398,AGRICULTURAL MACHINERY,2006-07,113.96,25.19
399,EARTH-MOVING MACHINERY,2006-07,4.48,0.99
400,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2006-07,382.01,84.44
401,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2006-07,24.52,5.42
402,MEDICAL AND SURGICAL APPLIANCES,2006-07,60.76,13.43
403,INDUSTRIAL INSTRUMENTS,2006-07,0.0,0.0
404,SCIENTIFIC INSTRUMENTS,2006-07,0.32,0.07
405,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2006-07,0.0,0.0
